amount,amount_count,percentage
500,194934,38.298198392895735
650,145001,28.487986011512994
850,106345,20.893337786596984
1200,45066,8.854004990274857
1800,13358,2.6244130533016365
3600,2022,0.39725731350321225
10000,1035,0.2033438770899232
20000,418,0.08212342089235544
40000,269,0.052849761291970374
90000,121,0.02377256920568184
180000,43,0.008448103106151397
10850,40,0.007858700563861764
10500,31,0.006090492936992868
20500,29,0.00569755790879978
90500,24,0.004715220338317059
10650,22,0.004322285310123971
40500,21,0.004125817796027427
11200,20,0.003929350281930882
20850,17,0.0033399477396412504
20650,15,0.0029470127114481623
11800,13,0.002554077683255074
40850,13,0.002554077683255074
90650,13,0.002554077683255074
40650,12,0.0023576101691585296
180500,12,0.0023576101691585296
21200,11,0.0021611426550619856
23600,8,0.0015717401127723532
91800,8,0.0015717401127723532
181200,7,0.0013752725986758089
180650,7,0.0013752725986758089
21800,7,0.0013752725986758089
41200,6,0.0011788050845792648
180850,6,0.0011788050845792648
91200,6,0.0011788050845792648
90850,5,0.0009823375704827205
13600,4,0.0007858700563861766
183600,3,0.0005894025422896324
41800,3,0.0005894025422896324
181800,2,0.0003929350281930883
50000,2,0.0003929350281930883
93600,2,0.0003929350281930883
43600,2,0.0003929350281930883
30000,2,0.0003929350281930883
200500,1,0.00019646751409654415
221200,1,0.00019646751409654415
110000,1,0.00019646751409654415
60000,1,0.00019646751409654415
360000,1,0.00019646751409654415
